stop_id,departure,destination,line,arrival,service_type
1A,05:10,Autobusová stanica cez Nový Juh,1,-,1
1A,05:30,Autobusová stanica cez Nový Juh,1,-,1
1A,05:50,Autobusová stanica cez Nový Juh,1,-,1
1A,06:00,Autobusová stanica cez Nový Juh,1,-,2
1A,06:10,Autobusová stanica cez Nový Juh,1,-,1
1A,06:30,Autobusová stanica cez Nový Juh,1,-,1
1A,06:45,Autobusová stanica cez Nový Juh,1,-,2
1A,06:50,Autobusová stanica cez Nový Juh,1,-,1
1A,07:00,Autobusová stanica cez Nový Juh,1,-,1
1A,07:10,Autobusová stanica cez Nový Juh,1,-,1
1A,07:15,Autobusová stanica cez Nový Juh,1,-,1
1A,07:30,Autobusová stanica cez Nový Juh,1,-,1
1A,07:50,Autobusová stanica cez Nový Juh,1,-,1
1A,08:10,Autobusová stanica cez Nový Juh,1,-,1
1A,08:30,Autobusová stanica cez Nový Juh,1,-,1
1A,08:50,Autobusová stanica cez Nový Juh,1,-,1
1A,09:10,Autobusová stanica cez Nový Juh,1,-,1
1A,09:30,Autobusová stanica cez Nový Juh,1,-,1
1A,09:50,Autobusová stanica cez Nový Juh,1,-,2
1A,09:55,Autobusová stanica cez Nový Juh,1,-,1
1A,10:10,Autobusová stanica cez Nový Juh,1,-,2
1A,10:25,Autobusová stanica cez Nový Juh,1,-,1
1A,10:30,Autobusová stanica cez Nový Juh,1,-,2
1A,10:50,Autobusová stanica cez Nový Juh,1,-,1
1A,10:55,Autobusová stanica cez Nový Juh,1,-,1
1A,11:10,Autobusová stanica cez Nový Juh,1,-,2
1A,11:25,Autobusová stanica cez Nový Juh,1,-,1
1A,11:30,Autobusová stanica cez Nový Juh,1,-,1
1A,11:50,Autobusová stanica cez Nový Juh,1,-,2
1A,11:55,Autobusová stanica cez Nový Juh,1,-,1
1A,12:10,Autobusová stanica cez Nový Juh,1,-,1
1A,12:25,Autobusová stanica cez Nový Juh,1,-,2
1A,12:30,Autobusová stanica cez Nový Juh,1,-,1
1A,12:50,Autobusová stanica cez Nový Juh,1,-,1
1A,12:55,Autobusová stanica cez Nový Juh,1,-,2
1A,13:10,Autobusová stanica cez Nový Juh,1,-,1
1A,13:25,Autobusová stanica cez Nový Juh,1,-,2
1A,13:30,Autobusová stanica cez Nový Juh,1,-,1
1A,13:50,Autobusová stanica cez Nový Juh,1,-,1
1A,14:10,Autobusová stanica cez Nový Juh,1,-,1
1A,14:30,Autobusová stanica cez Nový Juh,1,-,1
1A,14:50,Autobusová stanica cez Nový Juh,1,-,1
1A,15:10,Autobusová stanica cez Nový Juh,1,-,1
1A,15:30,Autobusová stanica cez Nový Juh,1,-,1
1A,15:50,Autobusová stanica cez Nový Juh,1,-,1
1A,16:10,Autobusová stanica cez Nový Juh,1,-,1
1A,16:30,Autobusová stanica cez Nový Juh,1,-,1
1A,16:55,Autobusová stanica cez Nový Juh,1,-,1
1A,17:25,Autobusová stanica cez Nový Juh,1,-,1
1A,17:55,Autobusová stanica cez Nový Juh,1,-,1
1A,18:25,Autobusová stanica cez Nový Juh,1,-,1
2B,05:12,Autobusová stanica cez Nový Juh,1,-,1
2B,05:32,Autobusová stanica cez Nový Juh,1,-,1
2B,05:52,Autobusová stanica cez Nový Juh,1,-,1
2B,06:02,Autobusová stanica cez Nový Juh,1,-,2
2B,06:12,Autobusová stanica cez Nový Juh,1,-,1
2B,06:32,Autobusová stanica cez Nový Juh,1,-,1
2B,06:47,Autobusová stanica cez Nový Juh,1,-,2
2B,06:52,Autobusová stanica cez Nový Juh,1,-,1
2B,07:02,Autobusová stanica cez Nový Juh,1,-,1
2B,07:12,Autobusová stanica cez Nový Juh,1,-,1
2B,07:17,Autobusová stanica cez Nový Juh,1,-,1
2B,07:32,Autobusová stanica cez Nový Juh,1,-,1
2B,07:52,Autobusová stanica cez Nový Juh,1,-,1
2B,08:12,Autobusová stanica cez Nový Juh,1,-,1
2B,08:32,Autobusová stanica cez Nový Juh,1,-,1
2B,08:52,Autobusová stanica cez Nový Juh,1,-,1
2B,09:12,Autobusová stanica cez Nový Juh,1,-,1
2B,09:32,Autobusová stanica cez Nový Juh,1,-,1
2B,09:52,Autobusová stanica cez Nový Juh,1,-,2
2B,09:57,Autobusová stanica cez Nový Juh,1,-,1
2B,10:12,Autobusová stanica cez Nový Juh,1,-,2
2B,10:27,Autobusová stanica cez Nový Juh,1,-,1
2B,10:32,Autobusová stanica cez Nový Juh,1,-,2
2B,10:52,Autobusová stanica cez Nový Juh,1,-,1
2B,10:57,Autobusová stanica cez Nový Juh,1,-,1
2B,11:12,Autobusová stanica cez Nový Juh,1,-,2
2B,11:27,Autobusová stanica cez Nový Juh,1,-,1
2B,11:32,Autobusová stanica cez Nový Juh,1,-,1
2B,11:52,Autobusová stanica cez Nový Juh,1,-,2
2B,11:57,Autobusová stanica cez Nový Juh,1,-,1
2B,12:12,Autobusová stanica cez Nový Juh,1,-,1
2B,12:27,Autobusová stanica cez Nový Juh,1,-,2
2B,12:32,Autobusová stanica cez Nový Juh,1,-,1
2B,12:52,Autobusová stanica cez Nový Juh,1,-,1
2B,12:57,Autobusová stanica cez Nový Juh,1,-,2
2B,13:12,Autobusová stanica cez Nový Juh,1,-,1
2B,13:27,Autobusová stanica cez Nový Juh,1,-,2
2B,13:32,Autobusová stanica cez Nový Juh,1,-,1
2B,13:52,Autobusová stanica cez Nový Juh,1,-,1
2B,14:12,Autobusová stanica cez Nový Juh,1,-,1
2B,14:32,Autobusová stanica cez Nový Juh,1,-,1
2B,14:52,Autobusová stanica cez Nový Juh,1,-,1
2B,15:12,Autobusová stanica cez Nový Juh,1,-,1
2B,15:32,Autobusová stanica cez Nový Juh,1,-,1
2B,15:52,Autobusová stanica cez Nový Juh,1,-,1
2B,16:12,Autobusová stanica cez Nový Juh,1,-,1
2B,16:32,Autobusová stanica cez Nový Juh,1,-,1
2B,16:57,Autobusová stanica cez Nový Juh,1,-,1
2B,17:27,Autobusová stanica cez Nový Juh,1,-,1
2B,17:57,Autobusová stanica cez Nový Juh,1,-,1
2B,18:27,Autobusová stanica cez Nový Juh,1,-,1
3A,05:13,Autobusová stanica cez Nový Juh,1,-,1
3A,05:33,Autobusová stanica cez Nový Juh,1,-,1
3A,05:53,Autobusová stanica cez Nový Juh,1,-,1
3A,06:03,Autobusová stanica cez Nový Juh,1,-,2
3A,06:13,Autobusová stanica cez Nový Juh,1,-,1
3A,06:33,Autobusová stanica cez Nový Juh,1,-,1
3A,06:48,Autobusová stanica cez Nový Juh,1,-,2
3A,06:53,Autobusová stanica cez Nový Juh,1,-,1
3A,07:03,Autobusová stanica cez Nový Juh,1,-,1
3A,07:13,Autobusová stanica cez Nový Juh,1,-,1
3A,07:18,Autobusová stanica cez Nový Juh,1,-,1
3A,07:33,Autobusová stanica cez Nový Juh,1,-,1
3A,07:53,Autobusová stanica cez Nový Juh,1,-,1
3A,08:13,Autobusová stanica cez Nový Juh,1,-,1
3A,08:33,Autobusová stanica cez Nový Juh,1,-,1
3A,08:53,Autobusová stanica cez Nový Juh,1,-,1
3A,09:13,Autobusová stanica cez Nový Juh,1,-,1
3A,09:33,Autobusová stanica cez Nový Juh,1,-,1
3A,09:53,Autobusová stanica cez Nový Juh,1,-,2
3A,09:58,Autobusová stanica cez Nový Juh,1,-,1
3A,10:13,Autobusová stanica cez Nový Juh,1,-,2
3A,10:28,Autobusová stanica cez Nový Juh,1,-,1
3A,10:33,Autobusová stanica cez Nový Juh,1,-,2
3A,10:53,Autobusová stanica cez Nový Juh,1,-,1
3A,10:58,Autobusová stanica cez Nový Juh,1,-,1
3A,11:13,Autobusová stanica cez Nový Juh,1,-,2
3A,11:28,Autobusová stanica cez Nový Juh,1,-,1
3A,11:33,Autobusová stanica cez Nový Juh,1,-,1
3A,11:53,Autobusová stanica cez Nový Juh,1,-,2
3A,11:58,Autobusová stanica cez Nový Juh,1,-,1
3A,12:13,Autobusová stanica cez Nový Juh,1,-,1
3A,12:28,Autobusová stanica cez Nový Juh,1,-,2
3A,12:33,Autobusová stanica cez Nový Juh,1,-,1
3A,12:53,Autobusová stanica cez Nový Juh,1,-,1
3A,12:58,Autobusová stanica cez Nový Juh,1,-,2
3A,13:13,Autobusová stanica cez Nový Juh,1,-,1
3A,13:28,Autobusová stanica cez Nový Juh,1,-,2
3A,13:33,Autobusová stanica cez Nový Juh,1,-,1
3A,13:53,Autobusová stanica cez Nový Juh,1,-,1
3A,14:13,Autobusová stanica cez Nový Juh,1,-,1
3A,14:33,Autobusová stanica cez Nový Juh,1,-,1
3A,14:53,Autobusová stanica cez Nový Juh,1,-,1
3A,15:13,Autobusová stanica cez Nový Juh,1,-,1
3A,15:33,Autobusová stanica cez Nový Juh,1,-,1
3A,15:53,Autobusová stanica cez Nový Juh,1,-,1
3A,16:13,Autobusová stanica cez Nový Juh,1,-,1
3A,16:33,Autobusová stanica cez Nový Juh,1,-,1
3A,16:58,Autobusová stanica cez Nový Juh,1,-,1
3A,17:28,Autobusová stanica cez Nový Juh,1,-,1
3A,17:58,Autobusová stanica cez Nový Juh,1,-,1
3A,18:28,Autobusová stanica cez Nový Juh,1,-,1
4A,05:15,Autobusová stanica cez Nový Juh,1,-,1
4A,05:35,Autobusová stanica cez Nový Juh,1,-,1
4A,05:55,Autobusová stanica cez Nový Juh,1,-,1
4A,06:05,Autobusová stanica cez Nový Juh,1,-,2
4A,06:15,Autobusová stanica cez Nový Juh,1,-,1
4A,06:35,Autobusová stanica cez Nový Juh,1,-,1
4A,06:50,Autobusová stanica cez Nový Juh,1,-,2
4A,06:55,Autobusová stanica cez Nový Juh,1,-,1
4A,07:05,Autobusová stanica cez Nový Juh,1,-,1
4A,07:15,Autobusová stanica cez Nový Juh,1,-,1
4A,07:20,Autobusová stanica cez Nový Juh,1,-,1
4A,07:35,Autobusová stanica cez Nový Juh,1,-,1
4A,07:55,Autobusová stanica cez Nový Juh,1,-,1
4A,08:15,Autobusová stanica cez Nový Juh,1,-,1
4A,08:35,Autobusová stanica cez Nový Juh,1,-,1
4A,08:55,Autobusová stanica cez Nový Juh,1,-,1
4A,09:15,Autobusová stanica cez Nový Juh,1,-,1
4A,09:35,Autobusová stanica cez Nový Juh,1,-,1
4A,09:55,Autobusová stanica cez Nový Juh,1,-,2
4A,10:00,Autobusová stanica cez Nový Juh,1,-,1
4A,10:15,Autobusová stanica cez Nový Juh,1,-,2
4A,10:30,Autobusová stanica cez Nový Juh,1,-,1
4A,10:35,Autobusová stanica cez Nový Juh,1,-,2
4A,10:55,Autobusová stanica cez Nový Juh,1,-,1
4A,11:00,Autobusová stanica cez Nový Juh,1,-,1
4A,11:15,Autobusová stanica cez Nový Juh,1,-,2
4A,11:30,Autobusová stanica cez Nový Juh,1,-,1
4A,11:35,Autobusová stanica cez Nový Juh,1,-,1
4A,11:55,Autobusová stanica cez Nový Juh,1,-,2
4A,12:00,Autobusová stanica cez Nový Juh,1,-,1
4A,12:15,Autobusová stanica cez Nový Juh,1,-,1
4A,12:30,Autobusová stanica cez Nový Juh,1,-,2
4A,12:35,Autobusová stanica cez Nový Juh,1,-,1
4A,12:55,Autobusová stanica cez Nový Juh,1,-,1
4A,13:00,Autobusová stanica cez Nový Juh,1,-,2
